id,city_name_en,city_name_cn,keywords,lat,lon,timezone_id
8225407,Mankhul,,mankhūl mankhul,25.24612,55.29222,Asia/Dubai
8226485,Nayf,,nayf nāyf,25.27139,55.30323,Asia/Dubai
8226590,Al Murar al Qadim,,al murar al qadīm al murar al qadim,25.27576,55.30738,Asia/Dubai
8469658,Al Warqaa,,al warqaa,25.19272,55.42013,Asia/Dubai
8469668,International City,,international city,25.16383,55.40987,Asia/Dubai
8469788,Dubai Marina,,dubai marina,25.08525,55.14646,Asia/Dubai
8469811,Dubai Internet City,,dubai internet city,25.09538,55.16171,Asia/Dubai
8469819,Al Safa,,al safa,25.17047,55.23336,Asia/Dubai
8475866,Ar Rumaylah,,ar rumaylah,25.40338,55.4334,Asia/Dubai
8475923,Al Jurf,,al jurf,25.41814,55.50791,Asia/Dubai
8476509,Al Majaz,,al majaz,25.32354,55.38774,Asia/Dubai
8541937,Dubai Festival City,,dubai festival city,25.22177,55.35733,Asia/Dubai
8541977,Dubai International Financial Centre,,dubai international financial centre,25.2106,55.27787,Asia/Dubai
11048853,Dubai Investments Park,,dubai investments park,25.00827,55.15682,Asia/Dubai
11524601,Jebel Ali,,jebel ali,25.00255,55.10811,Asia/Dubai
12042052,Bani Yas City,,bani yas city,24.30978,54.62944,Asia/Dubai
12042053,Musaffah,,musaffah,24.35893,54.48267,Asia/Dubai
12047416,Al Shamkhah City,,al shamkhah city,24.39268,54.70779,Asia/Dubai
12047417,Reef Al Fujairah City,,reef al fujairah city,25.14479,56.24764,Asia/Dubai
13118420,Al Bada'a,,al bada'a,25.22462,55.26888,Asia/Dubai
13118421,Al Muteena,,al muteena,25.27375,55.32265,Asia/Dubai
13118422,Al Mizhar First,,al mizhar first,25.24805,55.44128,Asia/Dubai
13118424,Dubai Silicon Oasis,,dubai silicon oasis,25.11985,55.38718,Asia/Dubai
13118431,Al Furjan,,al furjan,25.02651,55.14565,Asia/Dubai
13118432,Business Bay,,business bay,25.18544,55.26969,Asia/Dubai
13118433,Al Qusais 1,,al qusais 1,25.27925,55.36995,Asia/Dubai
13118437,Halwan,,halwan,25.34586,55.42165,Asia/Dubai
13118438,Al Sajaah,,al sajaah,25.31532,55.63211,Asia/Dubai
13118439,Lahbab,,lahbab,25.03763,55.59135,Asia/Dubai
13118447,Mohammed Bin Zayed City,,mohammed bin zayed city,24.34794,54.55368,Asia/Dubai
1120985,Zaranj,扎兰季,zaranj 扎兰季 zhalanji,30.95962,61.86037,Asia/Kabul
1121381,Bazar-e Yakawlang,,bazar-e yakawlang bāzār-e yakāwlang,34.73525,66.97379,Asia/Kabul
1123004,Taloqan,塔卢坎,taloqan 塔卢坎 talukan,36.73605,69.53451,Asia/Kabul
1125155,Shindand,,shīnḏanḏ shindand,33.30294,62.1474,Asia/Kabul
1125444,Shibirghan,,shibirghan shibirghān,36.66757,65.7529,Asia/Kabul
1125896,Shahrak,,shahrak,34.10737,64.3052,Asia/Kabul
1127110,Sar-e Pul,,sar-e pul,36.21544,65.93249,Asia/Kabul
1127628,Sang-e Charak,,sang-e chārak sang-e charak,35.84972,66.43694,Asia/Kabul
1127768,Aibak,,aībak aibak,36.26468,68.01551,Asia/Kabul
1128265,Rustaq,,rustaq rustāq,37.12604,69.83045,Asia/Kabul
1129516,Qarqin,,qarqīn qarqin,37.41853,66.04358,Asia/Kabul
1129648,Qarawul,,qarāwul qarawul,37.21959,68.7802,Asia/Kabul
1130490,Pul-e Khumri,,pul-e khumrī pul-e khumri,35.94458,68.71512,Asia/Kabul
1131316,Paghman,,paghmān paghman,34.58787,68.95091,Asia/Kabul
1131833,Nili,,nili nīlī,33.72178,66.13023,Asia/Kabul
1132495,Nahrin,,nahrīn nahrin,36.0649,69.13343,Asia/Kabul
1133453,Maymana,迈马纳,maimana maymana 迈马纳,35.92139,64.78361,Asia/Kabul
1133574,Mehtar Lam,,mehtar lam mehtar lām,34.67139,70.20944,Asia/Kabul
1133616,Mazar-e Sharif,,mazar-e sharif mazār-e sharīf,36.70904,67.11087,Asia/Kabul
1134720,Lashkar Gah,,lashkar gah lashkar gāh,31.59382,64.37161,Asia/Kabul
1135158,Kushk,,kushk,33.29565,61.95221,Asia/Kabul
1135689,Kunduz,昆都士,昆都士 kundoushi kunduz,36.72895,68.857,Asia/Kabul
1136469,Khost,,khōst khost,33.33951,69.92041,Asia/Kabul
1136575,Khulm,,khulm,36.69736,67.69826,Asia/Kabul
1136863,Khash,,khāsh khash,31.52919,62.79055,Asia/Kabul
1137079,Khan Neshin,,khan neshin khān neshīn,30.5488,63.7888,Asia/Kabul
1137168,Khanabad,,khanabad,36.68304,69.11279,Asia/Kabul
1137807,Karukh,,karukh,34.48108,62.5863,Asia/Kabul
1138336,Kandahar,坎大哈,kandahar 坎大哈 kandaha kandahār,31.61332,65.71013,Asia/Kabul
1138958,Kabul,喀布尔,kabul 喀布尔 kabuer,34.52813,69.17233,Asia/Kabul
1139715,Jalalabad,,jalālābād jalalabad,34.42647,70.45153,Asia/Kabul
1139807,Jabal os Saraj,,jabal os saraj,35.11833,69.23778,Asia/Kabul
1140026,Herat,赫拉特,herat helate 赫拉特 herāt,34.34817,62.19967,Asia/Kabul
1141089,Ghormach,,ghormach,35.73062,63.78264,Asia/Kabul
1141269,Ghazni,,ghazni,33.55391,68.42096,Asia/Kabul
1141540,Gereshk,,gereshk,31.82089,64.57005,Asia/Kabul
1141857,Gardez,,gardez,33.59744,69.22592,Asia/Kabul
1142170,Fayzabad,,fayzabad,37.11664,70.58002,Asia/Kabul
1142264,Farah,法拉,fala farah 法拉,32.37451,62.11638,Asia/Kabul
1142404,Eslam Qaleh,,eslam qaleh,34.66667,61.06667,Asia/Kabul
1145352,Charikar,恰里卡尔,恰里卡尔 qialikaer charikar,35.01361,69.17139,Asia/Kabul
1147066,Baraki Barak,,baraki barak,33.96744,68.9492,Asia/Kabul
1147242,Bamyan,,bamyan bāmyān,34.82156,67.82734,Asia/Kabul
1147290,Balkh,巴尔赫,balkh 巴尔赫 baerhe,36.75635,66.8972,Asia/Kabul
1147540,Baghlan,,baghlān baghlan,36.13068,68.70829,Asia/Kabul
1148106,Art Khwajah,,art khwajah ārt khwājah,37.08571,69.47958,Asia/Kabul
1148205,Asmar,,āsmār asmar,35.03333,71.35809,Asia/Kabul
1148311,Asadabad,,asadabad asadābād,34.87311,71.14697,Asia/Kabul
1148658,Andkhoy,,andkhōy andkhoy,36.95293,65.12376,Asia/Kabul
1429434,Bazarak,,bāzārak bazarak,35.31292,69.51519,Asia/Kabul
1469706,Markaz-e Woluswali-ye Achin,,markaz-e woluswali-ye achin markaz-e woluswalī-ye āchīn,34.12583,70.70778,Asia/Kabul
3576022,Saint John's,圣约翰,saint john's saint john’s 圣约翰 shengyuehan,17.12096,-61.84329,America/Antigua
363243,Sarande,萨兰达,萨兰达 salanda sarandë sarande,39.87534,20.00477,Europe/Tirane
781988,Pogradec,波格拉德茨,pogradec 波格拉德茨 bogeladeci,40.9025,20.6525,Europe/Tirane
782519,Librazhd,利布拉什德,libulashende 利布拉什德 librazhd,41.17944,20.315,Europe/Tirane
782661,Kukes,,kukës kukes,42.07694,20.42194,Europe/Tirane
782756,Korce,科尔察,科尔察 korçë keercha korce,40.61861,20.78083,Europe/Tirane
783148,Gjirokaster,吉诺卡斯特,gjirokaster jinuokasite gjirokastër 吉诺卡斯特,40.07583,20.13889,Europe/Tirane
783263,Elbasan,,elbasan,41.11138,20.08224,Europe/Tirane
783508,Bulqize,布爾奇察,bulqize buerqicha 布爾奇察 bulqizë,41.49167,20.22194,Europe/Tirane
3183719,Vlore,发罗拉,vlorë faluola vlore 发罗拉,40.4696,19.48379,Europe/Tirane
3183875,Tirana,地拉那,地拉那 tirana dilana,41.32744,19.81866,Europe/Tirane
3184081,Shkoder,,shkoder shkodër,42.06828,19.51258,Europe/Tirane
3184497,Peqin,佩今,peqin peijin 佩今,41.04611,19.75111,Europe/Tirane
3184517,Patos Fshat,,patos fshat,40.64278,19.65083,Europe/Tirane
3184518,Patos,帕圖斯,patusi 帕圖斯 patos,40.68333,19.61944,Europe/Tirane
3184862,Lushnje,卢什涅,lushennie lushnjë lushnje 卢什涅,40.94194,19.705,Europe/Tirane
3184935,Lezhe,莱什,laishen lezhe 莱什 lezhë,41.78361,19.64361,Europe/Tirane
3185060,Kucove,,kucove kuçovë,40.80028,19.91667,Europe/Tirane
3185082,Kruje,,kruje krujë,41.50917,19.79278,Europe/Tirane
3185211,Kavaje,卡瓦亚,kavaje 卡瓦亚 kawaya kavajë,41.18556,19.55694,Europe/Tirane
3185670,Fier-Cifci,,fier-cifci fier-çifçi,40.71667,19.56667,Europe/Tirane
3185672,Fier,非夏爾,fier feixiaer 非夏爾,40.7251,19.55823,Europe/Tirane
3185728,Durres,都拉斯,doulasi 都拉斯 durres durrës,41.32355,19.45469,Europe/Tirane
3186084,Berat,培拉特,培拉特 berat peilate,40.70583,19.95222,Europe/Tirane
174875,Kapan,卡潘,卡潘 kapan,39.20762,46.40678,Asia/Yerevan
174895,Goris,,goris,39.51111,46.34168,Asia/Yerevan
174979,Artashat,阿爾塔沙特,artashat 阿爾塔沙特 aertashate,39.95484,44.54874,Asia/Yerevan
174991,Ararat,亞拉臘,yalala ararat 亞拉臘,39.85494,44.6947,Asia/Yerevan
616052,Yerevan,葉里溫,yeliwen yerevan 葉里溫,40.17765,44.5126,Asia/Yerevan
616062,Vagharshapat,瓦加尔沙帕特,vagharshapat wajiaershapate 瓦加尔沙帕特,40.16557,44.29462,Asia/Yerevan
616250,Sevan,塞凡,塞凡 sevan saifan,40.548,44.95314,Asia/Yerevan
616435,Masis,,masis,40.06595,44.43669,Asia/Yerevan
616530,Vanadzor,瓦纳佐尔,瓦纳佐尔 vanadzor wanazuoer,40.8074,44.49704,Asia/Yerevan
616599,Gavar,,gavar,40.35398,45.12386,Asia/Yerevan
616627,Ijevan,伊杰万,伊杰万 ijevan yijiewan,40.88037,45.14776,Asia/Yerevan
616629,Hrazdan,赫拉茲丹,helazidan 赫拉茲丹 hrazdan,40.5169,44.75591,Asia/Yerevan
616631,Armavir,阿爾馬維爾,armavir 阿爾馬維爾 aermaweier,40.15553,44.0388,Asia/Yerevan
616635,Gyumri,久姆里,gyumri jiumuli 久姆里,40.79305,43.84635,Asia/Yerevan
616752,Dilijan,迪利然,diliran 迪利然 dilijan,40.74037,44.86344,Asia/Yerevan
616758,Davtashen,,davtashen,40.21642,44.48088,Asia/Yerevan
616785,Charentsavan,,charentsavan,40.40289,44.64447,Asia/Yerevan
616864,Avan,,avan,40.21436,44.57846,Asia/Yerevan
616877,Ashtarak,阿什塔拉克,ashentalake 阿什塔拉克 ashtarak,40.2976,44.36152,Asia/Yerevan
616887,Artik,,artik,40.61918,43.97207,Asia/Yerevan
617026,Abovyan,阿博維揚,abovyan 阿博維揚 aboweiyang,40.2717,44.63342,Asia/Yerevan
866152,Erebuni,,erebuni,40.13309,44.53009,Asia/Yerevan
866153,Nor Nork,,nor nork,40.19661,44.5669,Asia/Yerevan
866164,Ajapnyak,,ajapnyak,40.19917,44.47056,Asia/Yerevan
7647071,Kanaker-Zeytun,,kanaker-zeytun,40.22,44.53833,Asia/Yerevan
7670934,Malatia-Sebastia,,malatia-sebastia,40.17396,44.4457,Asia/Yerevan
7670941,Kentron,肯特隆区,肯特隆区 kentelongqu kentron,40.17806,44.51303,Asia/Yerevan
11111027,Shengavit,,shengavit,40.1557,44.4779,Asia/Yerevan
13156582,Arabkir,,arabkir,40.20624,44.50365,Asia/Yerevan
145531,Saurimo,,saurimo,-9.66078,20.39155,Africa/Luanda
145724,Lucapa,,lucapa,-8.41915,20.74466,Africa/Luanda
145757,Dundo,,dundo,-7.36643,20.81557,Africa/Luanda
145778,Chitato,,chitato,-7.3,20.73333,Africa/Luanda
145872,Cassanguidi,,cassanguidi,-7.48367,21.30339,Africa/Luanda
876130,Lumbala,,lumbala,-14.10165,21.43531,Africa/Luanda
876177,Luau,,luau,-10.70727,22.22466,Africa/Luanda
876482,Cazombo,,cazombo,-11.89914,22.90216,Africa/Luanda
2236360,Nzagi,,nzagi,-8.38549,15.30126,Africa/Luanda
2236568,Uige,,uíge uige,-7.60874,15.06131,Africa/Luanda
2236716,Tomboco,,tombôco tomboco,-6.80517,13.33017,Africa/Luanda
2236967,Soyo,,soyo,-6.1349,12.36894,Africa/Luanda
2236991,Songo,,songo,-7.35207,14.84629,Africa/Luanda
2237128,Sanza Pombo,,sanza pombo,-7.31473,16.0024,Africa/Luanda
2239001,N'zeto,,n'zeto,-7.228,12.86956,Africa/Luanda
2239069,Negage,,negage,-7.75938,15.2722,Africa/Luanda
2239076,N'dalatando,,n'dalatando,-9.29782,14.91162,Africa/Luanda
2239149,Mussende,,mussende,-10.5143,16.0199,Africa/Luanda
2239520,Mbanza Kongo,,mbanza kongo,-6.26667,14.23833,Africa/Luanda
2239732,Maquela do Zombo,,maquela do zombo,-6.05716,15.10971,Africa/Luanda
2239862,Malanje,,malanje,-9.54015,16.34096,Africa/Luanda
2239888,Maianga,,maianga,-8.82904,13.23097,Africa/Luanda
2240393,Lucala,,lucala,-9.27268,15.25206,Africa/Luanda
2240416,Lubalo,,lubalo,-9.15445,19.28136,Africa/Luanda
2240449,Luanda,罗安达,luanda 罗安达 luoanda,-8.83682,13.23432,Africa/Luanda
2240686,Cunda dia Baze,,cunda dia baze cunda diá baze,-8.90769,17.05339,Africa/Luanda
2240975,Golungo Alto,,golungo alto,-9.13333,14.76667,Africa/Luanda
2241371,Dondo,,dondo,-9.68456,14.42788,Africa/Luanda
2241372,Dondo,,dondo,-9.05,15.31667,Africa/Luanda
2241623,Cuimba,,cuímba cuimba,-6.12085,14.62086,Africa/Luanda
2241635,Cuilo,,cuilo,-8.23619,19.52566,Africa/Luanda
2241668,Cuango-Luzamba,,cuango-luzamba,-9.14583,18.04453,Africa/Luanda
2241954,Cazombo,,cazombo,-8.73204,15.37124,Africa/Luanda
2242001,Caxito,,caxito,-8.57848,13.66425,Africa/Luanda
2242584,Cangandala,,cangandala,-9.78333,16.43333,Africa/Luanda
2242885,Camabatela,,camabatela,-8.18812,15.37495,Africa/Luanda
2243127,Cacuso,,cacuso,-9.42102,15.74668,Africa/Luanda
2243271,Cabinda,,cabinda,-5.56198,12.19476,Africa/Luanda
2243458,Buco Zau,,buco zau,-4.76667,12.55,Africa/Luanda
2243646,Belize,,belize,-4.65,12.76667,Africa/Luanda
2243677,Barra do Dande,,barra do dande,-8.47175,13.37011,Africa/Luanda
2243866,Bailundo,,bailundo,-9.57499,15.99442,Africa/Luanda
2591933,Gama,,gama,-8.5675,13.47639,Africa/Luanda
2591949,Cazenga,,cazenga,-8.82488,13.31318,Africa/Luanda
2591976,Talatona,,talatona,-8.91783,13.18562,Africa/Luanda
3345492,Xangongo,,xangongo,-16.7444,14.97494,Africa/Luanda
3345495,Alto Hama,,alto hama,-12.23333,15.55,Africa/Luanda
3345517,Virei,,virei,-15.727,12.94961,Africa/Luanda
3345668,Ucuma,,ucuma,-12.96121,15.05958,Africa/Luanda
3345669,Ucu Seles,,ucu seles,-11.41237,14.30663,Africa/Luanda
3345790,Tombua,,tombua tômbua,-15.80394,11.84485,Africa/Luanda
3346015,Sumbe,孫貝,孫貝 sumbe sunbei,-11.20605,13.84371,Africa/Luanda
3346497,Quipungo,,quipungo,-14.81909,14.53504,Africa/Luanda
3346598,Quibala,,quibala,-10.73366,14.97995,Africa/Luanda
3346661,Porto Amboim,,porto amboim,-10.73251,13.76844,Africa/Luanda
3346821,Ondjiva,翁吉瓦,ondjiva wengjiwa 翁吉瓦,-17.06667,15.73333,Africa/Luanda
3346942,Nharea,,nharea nharêa,-11.47512,16.96496,Africa/Luanda
3347019,Mossamedes,納米貝,納米貝 mossamedes namibei,-15.19611,12.15222,Africa/Luanda
3347111,Mungo,,mungo,-11.83268,16.23613,Africa/Luanda
3347353,Menongue,梅農蓋,meinonggai menongue 梅農蓋,-14.6585,17.69099,Africa/Luanda
3347424,Matala,,matala,-14.73272,15.03479,Africa/Luanda
3347615,Luquembo,,luquembo,-10.73912,17.71766,Africa/Luanda
3347719,Luena,盧埃納,luena luaina 盧埃納,-11.78333,19.91667,Africa/Luanda
3347762,Lubango,盧班戈,lubange 盧班戈 lubango,-14.91717,13.4925,Africa/Luanda
3347853,Longonjo,,longonjo,-12.90795,15.24845,Africa/Luanda
3347880,Londuimbali,,londuimbali,-12.23712,15.31697,Africa/Luanda
3347939,Lobito,洛比托,洛比托 lobito luobituo,-12.3644,13.53601,Africa/Luanda
3348078,Cuito,,cuito cuíto,-12.38333,16.93333,Africa/Luanda
3348094,Catchiungo,,catchiungo,-12.56598,16.22589,Africa/Luanda
3348297,Humbe,,humbe,-16.6864,14.90317,Africa/Luanda
3348313,Huambo,万博,wanbo huambo 万博,-12.77611,15.73917,Africa/Luanda
3348581,Ganda,,ganda,-13.01592,14.63502,Africa/Luanda
3348613,Gabela,,gabela,-10.85147,14.37993,Africa/Luanda
3348896,Dombe Grande,,dombe grande,-12.95167,13.1025,Africa/Luanda
3349181,Cuemba,,cuemba,-12.15,18.08333,Africa/Luanda
3349229,Cubal,,cubal,-13.03865,14.2455,Africa/Luanda
3349324,Conda,,conda,-11.10862,14.33621,Africa/Luanda
3349515,Chitembo,,chitembo,-13.55,16.63333,Africa/Luanda
3349723,Chinguar,,chinguar,-12.55708,16.33805,Africa/Luanda
3350123,Cela,,cela,-11.42173,15.12345,Africa/Luanda
3350246,Catumbela,,catumbela,-12.43002,13.54677,Africa/Luanda
3350372,Catabola,,catabola,-12.15,17.28333,Africa/Luanda
3350550,Capunda,,capunda,-11.13333,14.46667,Africa/Luanda
3350867,Camucuio,,camucuio,-14.11667,13.25,Africa/Luanda
3350917,Cambundi Catembo,,cambundi catembo,-10.07531,17.55058,Africa/Luanda
3351014,Camacupa,,camacupa,-12.01667,17.48333,Africa/Luanda
3351023,Caluquembe,,caluquembe,-13.86667,14.43333,Africa/Luanda
3351064,Calulo,,calulo,-10.00055,14.89519,Africa/Luanda
3351500,Caala,,caala caála,-12.8525,15.56056,Africa/Luanda
3351599,Bocoio,,bocoio,-12.47017,14.13688,Africa/Luanda
3351663,Benguela,本吉拉,benjila benguela 本吉拉,-12.57674,13.40268,Africa/Luanda
3351764,Balombo,,balombo,-12.35426,14.77232,Africa/Luanda
3351786,Baia Farta,,baía farta baia farta,-12.60417,13.19667,Africa/Luanda
3351884,Andulo,,andulo,-11.48676,16.69663,Africa/Luanda
7745410,Cambundi,,cambundi,-7.46856,17.03769,Africa/Luanda
7768322,Cafunfo,,cafunfo,-8.7672,17.99572,Africa/Luanda
7855993,Santa Clara,,santa clara,-10.19156,15.43408,Africa/Luanda
7860624,Quissecula,,quissecula,-11.39223,15.09201,Africa/Luanda
7900710,Cambundi,,cambundi,-10.89481,17.76402,Africa/Luanda
10627325,Ingombota,,ingombota,-8.81806,13.22889,Africa/Luanda
13546341,Rangel,,rangel,-8.82644,13.26285,Africa/Luanda
13546342,Samba,,samba,-8.88001,13.19617,Africa/Luanda
13546343,Sambizanga,,sambizanga,-8.78883,13.27506,Africa/Luanda
3427213,Zarate,萨拉特,zarate zárate salate 萨拉特,-34.09584,-59.02423,America/Argentina/Buenos_Aires
3427327,Colonia Wanda,,colonia wanda,-25.97337,-54.56304,America/Argentina/Cordoba
3427387,Villa Ortuzar,,villa ortuzar villa ortúzar,-34.57973,-58.46829,America/Argentina/Buenos_Aires
3427388,Villa Ocampo,,villa ocampo,-28.48726,-59.35421,America/Argentina/Cordoba
3427408,Villa Lugano,,villa lugano,-34.67907,-58.47263,America/Argentina/Buenos_Aires
3427428,Villaguay,,villaguay,-31.86767,-59.02701,America/Argentina/Cordoba
3427431,Villa Gesell,,villa gesell,-37.26394,-56.97304,America/Argentina/Buenos_Aires
3427453,Villa de Mayo,,villa de mayo,-34.5108,-58.68059,America/Argentina/Buenos_Aires
3427687,Tortuguitas,托爾圖吉塔斯,tuoertujitasi tortuguitas 托爾圖吉塔斯,-34.47513,-58.75367,America/Argentina/Buenos_Aires
3427761,Tigre,,tigre,-34.42603,-58.57962,America/Argentina/Buenos_Aires
3427833,Tandil,坦迪爾,tandil 坦迪爾 tandier,-37.3287,-59.1369,America/Argentina/Buenos_Aires
3428068,San Vicente,,san vicente,-26.61667,-54.13333,America/Argentina/Cordoba
3428071,Santo Tome,,santo tomé santo tome,-28.55104,-56.04125,America/Argentina/Cordoba
3428075,Santos Lugares,聖盧加雷斯,聖盧加雷斯 shenglujialeisi santos lugares,-34.60306,-58.54074,America/Argentina/Buenos_Aires
3428359,Santa Elena,,santa elena,-30.94432,-59.78832,America/Argentina/Cordoba
3428576,San Pedro,,san pedro,-33.67918,-59.66633,America/Argentina/Buenos_Aires
3428577,San Pedro,,san pedro,-26.6218,-54.10902,America/Argentina/Cordoba
3428708,San Luis del Palmar,,san luis del palmar,-27.50766,-58.55625,America/Argentina/Cordoba
3428759,San Lorenzo,,san lorenzo,-28.13442,-58.76685,America/Argentina/Cordoba
3428975,San Javier,,san javier,-30.58072,-59.92962,America/Argentina/Cordoba
3428992,San Isidro,圣伊西德罗,san isidro 圣伊西德罗 shengyixideluo,-34.46971,-58.52111,America/Argentina/Buenos_Aires
3429244,San Antonio de Padua,聖安東尼奧德帕杜瓦,聖安東尼奧德帕杜瓦 shengandongniaodepaduwa san antonio de padua,-34.66267,-58.69819,America/Argentina/Buenos_Aires
3429399,Saladillo,,saladillo,-35.63884,-59.77938,America/Argentina/Buenos_Aires
3429403,Saladas,,saladas,-28.25504,-58.62386,America/Argentina/Cordoba
3429576,Retiro,雷蒂罗,雷蒂罗 retiro leidiluo,-34.58333,-58.38333,America/Argentina/Buenos_Aires
3429577,Resistencia,雷西斯滕西亚,resistencia leixisitengxiya 雷西斯滕西亚,-27.46363,-58.98665,America/Argentina/Cordoba
3429594,Reconquista,,reconquista,-29.15,-59.65,America/Argentina/Cordoba
3429652,Quilmes,基尔梅斯,基尔梅斯 quilmes jiermeisi,-34.72065,-58.25454,America/Argentina/Buenos_Aires
3429732,Puerto Rico,,puerto rico,-26.8089,-55.02147,America/Argentina/Cordoba
3429777,Puerto Iguazu,伊瓜蘇港,伊瓜蘇港 yiguasugang puerto iguazú puerto iguazu,-25.59912,-54.57355,America/Argentina/Cordoba
3429786,Puerto Esperanza,,puerto esperanza,-26.02267,-54.61356,America/Argentina/Cordoba
3429790,Puerto Eldorado,,puerto eldorado,-26.40843,-54.69463,America/Argentina/Cordoba
3429886,Posadas,波萨达斯,bosadasi posadas 波萨达斯,-27.39184,-55.92379,America/Argentina/Cordoba
3429902,Pontevedra,蓬特韋德拉,蓬特韋德拉 pontevedra pengteweidela,-34.74947,-58.70158,America/Argentina/Buenos_Aires
3429949,Pirane,,pirane pirané,-25.73271,-59.10989,America/Argentina/Cordoba
3429980,Pilar,,pilar,-34.45867,-58.91398,America/Argentina/Buenos_Aires
3430104,Paso de los Libres,,paso de los libres,-29.71251,-57.08771,America/Argentina/Cordoba
3430340,Obera,奧韋拉,aoweila oberá 奧韋拉 obera,-27.48683,-55.11994,America/Argentina/Cordoba
3430415,Nogoya,諾戈亞,諾戈亞 nogoyá nuogeya nogoya,-32.39375,-59.78955,America/Argentina/Cordoba
3430443,Necochea,內科切阿,neikeqiea 內科切阿 necochea,-38.5545,-58.73961,America/Argentina/Buenos_Aires
3430513,Muniz,,muñiz muniz,-34.55622,-58.70739,America/Argentina/Buenos_Aires
3430545,Moron,莫龙,molong 莫龙 morón moron,-34.65118,-58.62205,America/Argentina/Buenos_Aires
3430598,Monte Caseros,蒙特卡塞羅斯,mengtekasailuosi monte caseros 蒙特卡塞羅斯,-30.2518,-57.63537,America/Argentina/Cordoba
3430601,Montecarlo,,montecarlo,-26.56849,-54.7579,America/Argentina/Cordoba
3430697,Merlo,梅洛,merlo 梅洛 meiluo,-34.66536,-58.72744,America/Argentina/Buenos_Aires
3430708,Mercedes,梅塞德斯,梅塞德斯 mercedes meisaidesi,-34.65072,-59.43143,America/Argentina/Buenos_Aires
3430709,Mercedes,梅爾塞德斯,mercedes 梅爾塞德斯 meiersaidesi,-29.18416,-58.07519,America/Argentina/Cordoba
3430835,Haedo,,haedo,-34.64239,-58.59212,America/Argentina/Buenos_Aires
3430863,Mar del Plata,马德普拉塔,madepulata 马德普拉塔 mar del plata,-38.00042,-57.5562,America/Argentina/Buenos_Aires
3430988,Lujan,盧漢,luhan 盧漢 luján lujan,-34.5664,-59.11478,America/Argentina/Buenos_Aires
3431057,Los Polvorines,,los polvorines,-34.50316,-58.70596,America/Argentina/Buenos_Aires
